"datestop","timestop","sex","race","age","weight","haircolr","eyecolor","build","city","inside","location","typeofid","perobs","perstop","arstmade","sumissue","frisked","searched","contrabn","radio","height","pf","weap"
1022015,1440,"F","BLACK",21,145,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","PHOTO",1,"10","0","0","1","1","0","1",65,"0","0"
1022015,1450,"M","WHITE-HISPANIC",32,160,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","PHOTO",1,"10","0","0","1","1","1","0",61,"1","0"
1022015,1601,"M","BLACK",15,160,"BROWN","BROWN","THIN","BRONX","0","NEITHER","VERBAL",1,"5","0","0","1","0","0","1",70,"1","0"
1022015,1601,"M","BLACK-HISPANIC",20,220,"BLACK","BROWN","HEAVY","BRONX","0","NEITHER","OTHER",1,"5","1","0","1","1","1","1",67,"1","0"
1022015,1601,"Z","BLACK",18,170,"BLACK","BROWN","THIN","BRONX","0","NEITHER","VERBAL",1,"5","0","0","1","0","0","1",69,"1","0"
1022015,1608,"M","WHITE-HISPANIC",35,140,"BLACK","BROWN","THIN","BROOKLYN","0","NEITHER","VERBAL",1,"9","1","0","1","1","0","1",66,"0","0"
1022015,1700,"F","BLACK",37,120,"BLACK","BROWN","MEDIUM","BRONX","0","NEITHER","PHOTO",1,"3","0","0","0","0","0","0",64,"0","0"
1022015,1700,"M","BLACK",30,170,"BLACK","BROWN","MEDIUM","BRONX","0","NEITHER","PHOTO",1,"3","0","0","0","0","0","0",64,"0","0"
1022015,1700,"M","BLACK",21,170,"BLACK","BROWN","MEDIUM","BRONX","0","NEITHER","PHOTO",1,"3","0","0","0","0","0","0",65,"0","0"
1022015,1805,"M","BLACK",20,120,"UNKNOWN","BROWN","THIN","MANHATTAN","1","TRANSIT AUTHORITY","VERBAL",1,"30","0","0","1","1","0","1",67,"1","0"
1022015,1820,"M","WHITE",20,185,"BROWN","BROWN","MEDIUM","BRONX","0","NEITHER","VERBAL",1,"5","0","0","1","0","0","1",70,"0","0"
1022015,1859,"M","BLACK",24,145,"BLACK","BLACK","THIN","MANHATTAN","0","HOUSING AUTHORITY","PHOTO",1,"1","0","0","1","0","0","0",69,"0","0"
1022015,1859,"M","BLACK",21,150,"BLACK","BLACK","MEDIUM","MANHATTAN","0","HOUSING AUTHORITY","PHOTO",1,"1","0","0","1","0","0","0",70,"0","0"
1022015,1900,"M","WHITE-HISPANIC",29,175,"BLACK","BROWN","THIN","MANHATTAN","1","NEITHER","PHOTO",1,"2","0","0","1","0","0","1",70,"1","0"
1022015,2000,"M","BLACK",20,130,"BLACK","BROWN","THIN","BROOKLYN","1","HOUSING AUTHORITY","REFUSED",1,"1","0","0","1","0","0","0",64,"0","0"
1022015,2000,"M","BLACK",15,145,"BLACK","BROWN","THIN","BROOKLYN","1","HOUSING AUTHORITY","VERBAL",1,"1","1","0","1","0","0","0",65,"0","0"
1022015,2000,"M","BLACK",18,165,"BLACK","BROWN","MEDIUM","BROOKLYN","1","HOUSING AUTHORITY","VERBAL",1,"1","1","0","1","0","0","0",68,"0","0"
1022015,2000,"M","BLACK",15,156,"BLACK","BROWN","MEDIUM","BROOKLYN","1","HOUSING AUTHORITY","VERBAL",1,"1","0","0","1","0","0","0",69,"0","0"
1022015,2000,"M","BLACK",20,165,"BLACK","BROWN","MEDIUM","BROOKLYN","1","HOUSING AUTHORITY","VERBAL",1,"1","0","0","1","0","0","0",70,"0","0"
1022015,2000,"M","BLACK-HISPANIC",29,170,"BLACK","BROWN","MEDIUM","BROOKLYN","0","HOUSING AUTHORITY","VERBAL",1,"1","0","0","1","0","0","0",64,"0","0"
1022015,2000,"M","WHITE-HISPANIC",14,145,"BLACK","BROWN","THIN","BROOKLYN","1","HOUSING AUTHORITY","VERBAL",1,"1","1","0","1","0","0","0",65,"0","0"
1022015,2005,"F","BLACK",16,120,"BLACK","BROWN","THIN","STATEN IS","0","NEITHER","VERBAL",2,"5","0","0","0","0","0","1",64,"0","0"
1022015,2010,"F","WHITE-HISPANIC",21,160,"RED","BROWN","MEDIUM","MANHATTAN","0","NEITHER","PHOTO",1,"20","0","0","1","0","0","1",60,"1","0"
1022015,2010,"M","WHITE-HISPANIC",23,130,"BLACK","BROWN","THIN","MANHATTAN","0","NEITHER","PHOTO",1,"20","0","0","1","1","0","1",65,"1","0"
1022015,2021,"M","WHITE-HISPANIC",14,160,"BLACK","BROWN","THIN","STATEN IS","0","NEITHER","VERBAL",1,"5","0","0","0","0","0","1",65,"0","0"
1022015,2021,"M","WHITE-HISPANIC",17,160,"BLACK","BROWN","THIN","STATEN IS","0","NEITHER","VERBAL",1,"5","0","0","0","0","0","1",66,"0","0"
1022015,2021,"M","WHITE-HISPANIC",23,170,"BROWN","BROWN","THIN","STATEN IS","0","NEITHER","VERBAL",1,"5","0","0","0","0","0","1",66,"0","0"
1022015,2021,"M","WHITE-HISPANIC",25,200,"BLACK","BROWN","MEDIUM","STATEN IS","0","NEITHER","VERBAL",1,"5","0","0","0","0","0","1",67,"0","0"
1022015,2030,"M","BLACK",17,150,"BLACK","BROWN","MEDIUM","BRONX","0","NEITHER","VERBAL",1,"1","0","0","1","0","0","0",69,"1","0"
1022015,2100,"M","BLACK",25,200,"BROWN","BROWN","MEDIUM","MANHATTAN","0","HOUSING AUTHORITY","VERBAL",1,"5","0","0","1","0","0","0",70,"0","0"
1022015,2100,"M","BLACK",22,180,"BROWN","BROWN","THIN","MANHATTAN","0","HOUSING AUTHORITY","VERBAL",1,"5","1","0","1","1","1","0",74,"0","0"
1022015,2100,"M","WHITE-HISPANIC",17,170,"BLACK","BLACK","THIN","BRONX","0","NEITHER","VERBAL",1,"3","0","0","1","0","0","0",69,"1","0"
1022015,2100,"Z","OTHER",26,140,"BLACK","BROWN","THIN","BROOKLYN","0","HOUSING AUTHORITY","VERBAL",2,"3","0","0","1","0","0","0",67,"1","0"
1022015,2157,"M","BLACK",16,150,"BLACK","BROWN","THIN","BROOKLYN","1","HOUSING AUTHORITY","VERBAL",1,"12","0","0","1","0","0","1",68,"1","0"
1022015,2200,"M","BLACK",19,150,"OTHER","BROWN","THIN","BROOKLYN","1","HOUSING AUTHORITY","PHOTO",1,"2","0","0","1","0","0","0",66,"0","0"
1022015,2315,"M","BLACK",25,175,"BLACK","BROWN","MEDIUM","BRONX","0","NEITHER","PHOTO",2,"2","0","0","1","0","0","0",73,"0","0"
1022015,2335,"M","BLACK",17,160,"BROWN","BROWN","THIN","BROOKLYN","1","TRANSIT AUTHORITY","VERBAL",2,"10","0","0","1","1","0","1",74,"0","0"
1022015,2350,"M","BLACK",16,110,"BLACK","BROWN","THIN","BRONX","0","NEITHER","VERBAL",2,"8","0","1","1","1","0","0",65,"1","0"
1022015,2355,"M","BLACK",18,180,"BLACK","BROWN","THIN","BRONX","0","NEITHER","VERBAL",1,"1","0","1","1","1","0","0",75,"1","0"
1022015,2358,"M","BLACK",17,155,"BLACK","BROWN","MEDIUM","BRONX","0","NEITHER","PHOTO",1,"5","0","1","1","1","0","0",68,"1","0"
1032015,30,"M","WHITE-HISPANIC",19,150,"BROWN","BROWN","MEDIUM","BROOKLYN","0","NEITHER","VERBAL",1,"3","0","0","1","0","0","0",70,"0","0"
1032015,100,"M","BLACK",19,170,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","PHOTO",8,"8","0","0","1","0","0","0",74,"0","0"
1032015,100,"M","BLACK",19,160,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","PHOTO",8,"8","0","0","1","0","0","0",75,"0","0"
1032015,100,"M","BLACK",19,175,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","PHOTO",8,"8","0","0","1","0","0","0",77,"0","0"
1032015,100,"M","WHITE",30,160,"BLACK","BROWN","THIN","BROOKLYN","0","NEITHER","VERBAL",2,"5","0","0","1","0","0","0",67,"0","0"
1032015,105,"M","BLACK",21,170,"BLACK","BROWN","MEDIUM","QUEENS","1","NEITHER","PHOTO",5,"3","1","0","1","0","0","0",68,"0","0"
1032015,125,"M","WHITE",41,160,"BLACK","HAZEL","THIN","STATEN IS","0","NEITHER","PHOTO",5,"10","0","0","0","0","0","0",70,"0","0"
1032015,130,"M","WHITE-HISPANIC",20,175,"BROWN","BROWN","MEDIUM","MANHATTAN","0","HOUSING AUTHORITY","VERBAL",1,"5","0","0","1","1","0","0",68,"0","0"
1032015,331,"M","WHITE",21,160,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","VERBAL",1,"10","1","0","1","1","0","1",70,"1","0"
1032015,331,"M","WHITE",20,165,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","VERBAL",1,"10","0","0","1","0","0","1",70,"1","0"
1032015,400,"M","BLACK-HISPANIC",36,200,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","PHOTO",3,"4","0","0","1","0","0","1",70,"0","0"
1032015,400,"M","WHITE-HISPANIC",42,250,"BLACK","BROWN","HEAVY","BROOKLYN","0","NEITHER","PHOTO",3,"4","0","0","1","0","0","1",71,"0","0"
1032015,1046,"M","WHITE-HISPANIC",25,150,"BLACK","BROWN","THIN","QUEENS","1","NEITHER","PHOTO",1,"7","1","0","1","1","0","1",67,"1","0"
1032015,1220,"M","BLACK",36,150,"BLACK","BROWN","THIN","BROOKLYN","0","NEITHER","PHOTO",2,"2","0","0","1","0","0","0",66,"0","0"
1032015,1221,"M","BLACK",17,159,"BLACK","BLACK","THIN","MANHATTAN","0","NEITHER","PHOTO",1,"7","0","0","1","1","0","0",64,"1","0"
1032015,1221,"M","BLACK",19,160,"BLACK","BROWN","THIN","MANHATTAN","0","NEITHER","VERBAL",1,"7","0","0","1","0","0","1",74,"0","0"
1032015,1855,"M","BLACK",28,185,"BROWN","BROWN","MEDIUM","BROOKLYN","0","NEITHER","PHOTO",1,"5","0","0","1","0","0","1",74,"0","0"
1032015,1919,"M","WHITE-HISPANIC",20,200,"BROWN","BLACK","MUSCULAR","BRONX","0","NEITHER","REFUSED",2,"5","0","0","1","0","0","1",65,"0","0"
1032015,2015,"M","BLACK",18,160,"BLACK","BLUE","THIN","BROOKLYN","1","HOUSING AUTHORITY","PHOTO",1,"3","0","0","1","0","0","1",69,"0","0"
1032015,2130,"M","BLACK",25,130,"BLACK","BROWN","THIN","BRONX","0","NEITHER","REFUSED",10,"2","0","0","0","0","0","0",66,"0","0"
1032015,2200,"M","BLACK-HISPANIC",24,170,"BLACK","BLACK","THIN","BRONX","0","NEITHER","PHOTO",1,"3","0","0","1","0","0","0",69,"1","0"
1032015,2200,"M","WHITE-HISPANIC",24,180,"BLACK","BLACK","MEDIUM","BRONX","0","NEITHER","PHOTO",1,"3","0","0","1","0","0","0",70,"1","0"
1032015,2215,"M","BLACK",28,170,"BLACK","BROWN","MEDIUM","QUEENS","0","NEITHER","PHOTO",1,"10","1","0","1","1","0","0",65,"1","0"
1032015,2215,"M","BLACK",24,140,"BLACK","BROWN","THIN","QUEENS","0","NEITHER","VERBAL",1,"10","1","0","1","1","0","0",66,"1","0"
1032015,2315,"M","WHITE-HISPANIC",22,150,"BLOND","BROWN","MEDIUM","STATEN IS","0","NEITHER","PHOTO",2,"10","0","0","1","0","0","0",68,"0","0"
1032015,2315,"M","WHITE",25,180,"BROWN","BROWN","MEDIUM","STATEN IS","0","NEITHER","PHOTO",2,"2","0","0","1","0","0","0",72,"0","0"
1042015,115,"M","WHITE-HISPANIC",31,235,"BROWN","BROWN","HEAVY","BRONX","0","NEITHER","PHOTO",1,"2","0","0","1","0","0","0",68,"1","0"
1042015,125,"M","BLACK",20,160,"UNKNOWN","BROWN","THIN","BROOKLYN","0","NEITHER","REFUSED",1,"10","0","0","0","0","0","0",65,"0","0"
1042015,450,"M","WHITE-HISPANIC",31,190,"BLACK","BROWN","MEDIUM","QUEENS","1","TRANSIT AUTHORITY","VERBAL",0,"20","0","0","1","0","0","1",69,"0","0"
1042015,550,"F","WHITE-HISPANIC",36,220,"BLACK","BROWN","HEAVY","MANHATTAN","0","NEITHER","PHOTO",2,"20","1","0","1","0","0","1",65,"1","0"
1042015,550,"M","BLACK-HISPANIC",42,160,"BLACK","BROWN","THIN","MANHATTAN","0","NEITHER","PHOTO",2,"20","1","0","1","0","0","1",65,"0","0"
1042015,905,"M","BLACK",30,180,"BROWN","BROWN","THIN","BROOKLYN","0","NEITHER","PHOTO",1,"10","0","0","1","0","0","1",69,"0","0"
1042015,1250,"M","WHITE",35,170,"BROWN","BLUE","THIN","BROOKLYN","1","NEITHER","VERBAL",30,"15","0","0","1","0","0","1",71,"0","0"
1042015,1508,"M","BLACK",27,185,"BLACK","BROWN","THIN","QUEENS","0","NEITHER","PHOTO",2,"15","1","0","1","0","1","1",72,"0","0"
1042015,1535,"M","BLACK",59,195,"BLACK","BROWN","MEDIUM","QUEENS","0","NEITHER","PHOTO",1,"5","0","0","1","0","0","0",69,"0","0"
1042015,1535,"M","BLACK",55,160,"SALT AND PEPPER","BLACK","MEDIUM","QUEENS","0","NEITHER","PHOTO",1,"5","0","0","1","0","0","0",70,"0","0"
1042015,1755,"M","BLACK",18,220,"BLACK","BROWN","MEDIUM","BROOKLYN","1","HOUSING AUTHORITY","PHOTO",1,"5","1","0","1","1","0","0",74,"0","0"
1042015,1755,"M","OTHER",16,162,"BLACK","BROWN","MEDIUM","BROOKLYN","1","HOUSING AUTHORITY","PHOTO",1,"5","1","0","1","1","0","0",70,"0","0"
1042015,1836,"M","BLACK",14,125,"BLACK","BROWN","MEDIUM","QUEENS","0","HOUSING AUTHORITY","VERBAL",5,"5","0","0","0","0","0","0",62,"0","0"
1042015,1836,"M","BLACK",145,132,"BLACK","BROWN","MEDIUM","QUEENS","0","HOUSING AUTHORITY","VERBAL",5,"5","0","0","0","0","0","1",62,"0","0"
1042015,2010,"M","BLACK",26,150,"BLACK","BLACK","THIN","MANHATTAN","0","NEITHER","PHOTO",1,"20","0","0","1","0","0","1",72,"1","0"
1042015,2010,"M","BLACK-HISPANIC",30,180,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","REFUSED",1,"15","0","0","1","1","0","1",70,"1","0"
1042015,2020,"M","BLACK",24,180,"BLACK","BROWN","THIN","QUEENS","0","NEITHER","PHOTO",1,"10","0","0","1","0","0","0",74,"1","0"
1052015,930,"M","BLACK",49,180,"BLACK","BROWN","THIN","BRONX","0","NEITHER","VERBAL",1,"20","0","0","1","0","0","1",68,"0","0"
